State,MatMort,Pop,Asian,AA,White,NAM,Other,Female,Graduate,bachelor,Associates,HighSchool,Poverty,EdExpen,Change,GRadM,GradF,BachM,BachF,AM,AF,HSM,HSF
DE,0,998619,3.98,21.99,67.44,0.37,6.22,51.67,13.67,18.99,8.03,31.04,11.4,17235,5.6,42.35,50.6,59.72,69.37,21.12,33.47,104.53,106.47
NH,0,1378449,2.7,1.55,91.98,0.16,3.6,50.43,14.51,23.05,10.44,27.28,7.42,17900,2.5,65.37,75.5,108.18,115.64,43.73,57.64,137.65,127.3
VT,0,622882,1.62,1.28,93.6,0.3,3.2,50.6,16.15,23.51,8.84,28.25,10.78,20838,2.6,30.45,40.94,47,56.94,16.8,22.29,67.61,57.29
CA,4,39664128,14.83,5.72,56.05,0.79,2.6,50.28,13.1,21.62,7.96,20.37,12.58,14031,0,1730,1760,2670,3000,949.93,1170,2770,2670
MA,8.4,6922107,6.78,7.47,76.57,0.2,8.99,51.46,19.99,24.54,7.68,23.54,9.85,18733,5.6,444.63,518.06,560.77,620.68,148.57,221.21,579.18,554.18
NV,8.4,3238601,8.33,9.33,62.08,1.24,19.03,49.83,8.81,16.64,8.41,27.92,12.78,9814,1.5,91.7,92.79,169.43,179.08,82.1,94.06,299.15,285.55
CT,10.5,3546588,4.57,10.7,74.22,0.25,10.25,51.22,17.86,22.15,7.75,26.33,9.78,21346,0.2,205.21,239.33,261.12,290.33,77.72,115.31,328.9,326.48
CO,11.5,5961083,3.2,4.15,81.52,0.94,10.2,49.65,15.56,26.05,8.51,21.2,9.78,11602,5.2,296.22,310.64,495.93,520.06,151.35,180.78,435.35,391.73
MN,11.8,5739781,4.91,6.43,81.64,0.97,6.04,50.2,12.61,24.17,11.06,24.23,9.33,13603,1.6,226.14,253.38,436.92,482.14,203.96,236.94,482.07,439.13
AK,12.4,720763,6.42,3.24,63.36,14.56,12.42,47.81,11.34,18.65,8.72,28.44,10.34,18313,-0.4,25.11,29.69,40.94,49.22,20.86,21.3,78.95,58.54
OR,12.8,4325290,4.5,1.89,82.59,1.09,9.93,50.42,13.1,21.03,9.04,22.66,12.36,12855,3.3,184.69,200.99,299.98,327.38,123.55,142.56,337.99,329.35
HI,12.9,1401709,37.64,1.88,24.15,0.25,36.08,49.84,11.62,21.95,10.86,27.3,9.26,16564,2.7,54.87,60.94,102.09,116.59,52.48,55.74,141.78,130.25
WV,12.9,1755715,0.79,3.56,92.52,0.17,2.96,50.55,8.55,12.74,7.61,39.97,17.1,12375,3,47.95,61.88,76.84,86.75,37.58,60.16,263.61,249.53
WI,13.7,5867518,2.81,6.34,84.3,0.84,5.72,50.24,10.55,20.25,11,30.27,10.97,12740,1.1,195.2,224.82,373.2,433.31,201,236.94,622.63,582.69
WA,13.8,7887965,8.82,3.86,73.53,1.22,12.56,49.96,13.91,22.77,10.11,21.8,10.19,14556,2.3,357.47,365.82,579.35,604.6,239.46,286.47,584.93,548.76
IL,14.7,12518071,5.58,14.13,69.79,0.27,10.23,50.87,13.93,21.58,8.14,25.56,11.99,17293,6.6,557.73,652.54,895.56,979.46,310.66,396.47,1100,1100
UT,16.5,3363182,2.32,1.21,85.14,1.05,10.27,49.64,11.67,23.01,9.98,22.76,9.13,8366,4.4,130.87,87.27,210.37,219.57,82.27,104.28,205.42,219.76
NE,18.2,1960790,2.49,4.78,85.31,0.88,6.54,50.12,11.12,21.38,10.69,25.73,10.37,12939,1.5,66.31,73.7,125.29,144.02,67.09,67.51,167.27,156.83
IA,18.3,3174426,2.52,3.72,89.09,0.33,4.34,50.34,9.6,19.72,11.81,30.76,11.11,11958,0.4,95.83,106.23,192.13,222.92,108.85,139.65,338.22,309.15
NC,18.6,10807491,2.97,21.35,67.58,1.16,6.93,51.35,11.62,20.42,9.88,25.45,13.98,9958,1,375.96,448.96,662.3,786.67,282.05,419.19,908.57,897.84
PA,18.6,12805190,3.51,11.09,79.37,0.16,5.86,51,12.82,19.51,8.63,34.18,11.95,17142,1.6,530.23,621.98,847.74,906.57,332.05,443.49,1510,1560
KS,18.9,2919179,2.99,5.69,82.96,0.76,7.6,50.15,12.46,21.46,8.81,25.85,11.44,12697,6.5,113.44,124.83,195.03,215.31,73.91,94.51,254.74,239.49
ME,18.9,1359677,1.14,1.39,93.68,0.66,3.13,51.03,12.16,20.33,10.22,31.3,11.07,14892,1.9,51.4,68.03,88.53,111.22,44.73,55.68,159.29,148.16
NY,19.2,19223191,8.58,15.39,62.31,0.39,13.42,51.45,16.54,20.92,8.86,25.45,13.58,25519,1.5,990.83,1270,1370,1490,526.47,682.23,1710,1760
OH,19.2,11727377,2.3,12.36,80.47,0.18,4.7,50.99,10.95,17.94,8.76,32.81,13.62,13805,2,404.57,472.8,683.67,754.51,283.38,419.12,1320,1310
MI,19.4,9995212,3.18,13.64,77.56,0.5,5.12,50.75,11.73,18.25,9.61,28.53,13.71,13072,2.5,385.61,418.4,594.04,657.07,270.88,388.05,982.55,973.11
MD,19.7,6075314,6.37,29.86,54.24,0.26,9.26,51.54,19.1,21.79,6.79,24.16,9.02,15489,2.2,364.99,430.67,423.29,484.23,114.66,168.24,502.98,503.03
VA,20,8638218,6.7,19.05,66.32,0.27,7.67,50.8,17.15,22.36,7.87,23.88,10.01,12905,2.1,490.78,509.63,608.21,695.87,191.1,268.13,707.71,685.12
ND,20.1,774008,1.58,3.15,85.68,5.15,4.45,48.8,8.58,22.1,14.12,26.1,10.53,14242,1.7,19.4,23.29,50.53,59.44,34.84,35.41,71.02,58.81
MS,20.8,2961936,1,37.68,58,0.47,2.86,51.58,8.91,13.85,10.25,30.1,19.58,9653,4,71.35,105.28,118.29,156.27,82.42,120.84,302.75,294.17
MT,21,1093117,0.82,0.56,87.8,6.17,4.66,49.69,10.93,22.21,9.43,28.07,12.78,12101,0.7,39.17,41.15,77.92,85.26,31.09,38.18,108.68,97.53
OK,21.1,4007179,2.2,7.29,71.15,7.69,11.67,50.46,8.98,17.17,8.23,31.11,15.27,9508,2,110.5,124.03,208.83,239.53,93.75,121.09,414.49,398.13
NM,21.5,2109093,1.61,2.07,70,9.31,17.02,50.5,12.32,15.82,8.81,26.15,18.55,11332,11.3,81.48,92.93,102.99,120.89,54.29,70.43,191.53,178.59
RI,22.1,1062583,3.45,6.54,79,0.41,10.6,51.36,13.98,21.04,8.21,27.97,11.58,16857,0.6,48.36,55.3,73.86,82.12,26.75,34.14,104.39,102.97
FL,22.3,22177997,2.78,15.94,71.64,0.26,9.38,51.1,11.28,19.26,9.97,28.24,13.34,9937,3,843.15,877.85,1390,1550,651.62,870.09,2110,2200
KY,22.9,4487233,1.53,8.1,86.25,0.19,3.95,50.77,10.26,14.76,8.57,32.63,16.61,11397,6.5,131.96,179.49,217.13,230.75,101.78,158.21,508.89,481.31
ID,23.8,1896652,1.4,0.66,88.41,1.31,8.23,49.85,9.36,19.3,9.84,26.69,11.94,8272,3.6,59.26,47.99,103.61,117.48,51.91,60.76,157.38,148.33
SD,24.5,902542,1.41,2.14,83.61,8.53,4.3,49.63,9.24,20.06,11.64,30.22,12.81,10208,0.7,25.05,28.54,54.48,61.92,31.62,35.91,94.56,80.78
WY,26.3,582233,0.84,0.87,90.35,2.26,5.68,49.04,10.51,17.67,11.44,28.56,10.76,16698,2.4,20.97,20.34,32.72,36.68,20.12,24.82,62.19,50
TN,26.7,7001803,1.81,16.67,76.73,0.25,4.53,51.21,10.37,17.78,7.51,31.82,14.62,9896,0.3,217.06,264.97,388.66,438.29,141.02,208.14,739.11,740.54
AZ,27.3,7640796,2.33,4.53,73.77,4.34,14.02,50.31,11.5,18.8,8.86,23.77,14.12,8785,1.8,276.45,281.02,441.18,470.05,199.95,229.2,575.38,576.61
SC,27.9,5342388,1.64,26.45,66.51,0.33,5.07,51.51,10.82,18.17,9.89,28.87,14.68,11532,3.5,165.51,214.4,301.32,337.07,143.47,203.95,502.03,511.99
